Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Matej Kovar,26-038,90,5,3,2,40.0,bc67a0e1,2740937c,f26b468c
Raúl Rangel,26-119,77,1,0,1,100.0,15f733fb,b009a548,f26b468c
Guillermo Ochoa,40-346,13,0,0,0,,1e9bde92,b009a548,f26b468c
