Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Maxime Crépeau,32-032,90,3,1,2,66.7,ea42e480,9c6d90a0,f6d2bd84
Nikola Vasilj,30-192,90,2,1,1,50.0,f038585f,6c5ef1c3,f6d2bd84
