Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Diogo Costa,26-277,90,2,0,2,100.0,93fffbcf,4a1b4ea8,904bbbdc
Abduvohid Nematov,25-095,90,9,5,4,44.4,25e45f2a,cd389e75,904bbbdc
