Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Kim Seung-gyu,35-254,90,4,1,3,75.0,eabaafa6,473f0fbf,beebb792
Matej Kovar,26-025,90,6,2,4,66.7,bc67a0e1,2740937c,beebb792
