Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Kristoffer Nordfeldt,36-356,90,2,1,1,50.0,78549904,296f69e7,6df52cfd
Mouhib Chamakh,24-293,90,6,5,1,16.7,9627f87b,a7c7562a,6df52cfd
