Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Matej Kovar,26-032,90,4,1,3,75.0,bc67a0e1,2740937c,02f675d6
Ronwen Williams,34-148,90,3,1,2,66.7,a66cc153,506f1741,02f675d6
