Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Raúl Rangel,26-130,90,5,3,2,40.0,15f733fb,b009a548,3ed2ad56
Jordan Pickford,32-120,90,5,2,3,60.0,4806ec67,1862c019,3ed2ad56
