Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Yahia Fofana,25-297,90,1,0,1,100.0,9d420dad,24772b12,f8ee7eef
Hernán Galíndez,39-076,90,4,1,3,75.0,89c136f6,123acaf8,f8ee7eef
