Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Jordan Pickford,32-102,90,5,2,3,60.0,4806ec67,1862c019,c42ce3be
Dominik Livaković,31-159,90,11,4,7,63.6,58f077c0,7b08e376,c42ce3be
