Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Mike Maignan,30-354,90,0,0,0,,fcb38f57,b1b36dcd,31f1f241
Ahmed Basil,29-307,90,5,3,2,40.0,3bf9e631,ec843efd,31f1f241
