Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Hernán Galíndez,39-087,90,3,1,2,66.7,89c136f6,123acaf8,cc4ebc5b
Manuel Neuer,40-090,90,3,2,1,33.3,8778c910,c1e40422,cc4ebc5b
