Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Unai Simón,29-010,90,1,0,1,100.0,5dcf3e90,b561dd30,0fcac1d8
Mohammed Al-Owais,34-254,90,9,4,5,55.6,f2c060c6,6e84edac,0fcac1d8
