Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Raúl Rangel,26-113,90,2,0,2,100.0,15f733fb,b009a548,50a429da
Kim Seung-gyu,35-261,90,4,1,3,75.0,eabaafa6,473f0fbf,50a429da
