Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Alisson,33-276,90,5,2,3,60.0,7a2e46a8,304635c3,dabafdc1
Ørjan Nyland,35-298,90,4,1,3,75.0,bdedffac,599eba19,dabafdc1
