Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Bart Verbruggen,23-315,120,6,1,5,83.3,cf134113,5bb5024a,bebca560
Yassine Bounou,35-085,120,2,1,1,50.0,f6798fc3,af41ccda,bebca560
