Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Ørjan Nyland,35-304,120,8,2,6,75.0,bdedffac,599eba19,4a03a810
Jordan Pickford,32-126,120,4,1,3,75.0,4806ec67,1862c019,4a03a810
