Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Manuel Neuer,40-094,120,3,1,2,66.7,8778c910,c1e40422,89da405b
Orlando Gill,26-018,120,7,1,6,85.7,0d425331,d2043442,89da405b
