Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Mohammed Al-Owais,34-248,90,10,1,9,90.0,f2c060c6,6e84edac,82de5964
Fernando Muslera,39-364,90,3,1,2,66.7,a2abe631,870e020f,82de5964
