Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Vozinha,40-023,90,3,0,3,100.0,dc04ac24,31fa6fa6,8d6d70b6
Mohammed Al-Owais,34-259,90,2,0,2,100.0,f2c060c6,6e84edac,8d6d70b6
