Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Manuel Neuer,40-079,90,2,1,1,50.0,8778c910,c1e40422,a2c54ed9
Eloy Room,37-128,90,11,7,4,36.4,6b33d86b,e0f5893a,a2c54ed9
