Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Alisson,33-270,90,2,1,1,50.0,7a2e46a8,304635c3,58289f35
Zion Suzuki,23-312,90,6,2,4,66.7,51e1f4f5,ffcf1690,58289f35
