Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Gregor Kobel,28-208,90,2,0,2,100.0,cd59b9df,81021a70,b2f307a9
Luca Zidane,28-050,90,4,2,2,50.0,c818c4d9,1e2dba57,b2f307a9
