Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Bart Verbruggen,23-300,90,3,2,1,33.3,cf134113,5bb5024a,faa0cb98
Zion Suzuki,23-297,90,6,2,4,66.7,51e1f4f5,ffcf1690,faa0cb98
