Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Lionel Mpasi,31-330,90,2,1,1,50.0,5c6b0637,9be9f315,6287f9c7
Abduvohid Nematov,25-099,90,4,3,1,25.0,25e45f2a,cd389e75,6287f9c7
