Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Camilo Vargas,37-116,90,0,0,0,,004e3d0f,ab73cfe5,d4ac0040
Lawrence Ati-Zigi,29-216,90,8,1,7,87.5,a12402c3,9349828d,d4ac0040
