Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Orlando Gill,26-023,90,5,1,4,80.0,0d425331,d2043442,8ad9833e
Mike Maignan,31-001,90,0,0,0,,fcb38f57,b1b36dcd,8ad9833e
