Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Unai Simón,29-038,120,0,0,0,,5dcf3e90,b561dd30,bedbfe84
Emiliano Martínez,33-320,120,12,1,11,91.7,7956236f,f9fddd6e,bedbfe84
