Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Max Crocombe,32-318,90,10,5,5,50.0,fdf47077,259855f0,f527457d
Thibaut Courtois,34-046,90,2,1,1,50.0,1840e36d,361422b9,f527457d
