Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Camilo Vargas,37-106,90,1,0,1,100.0,004e3d0f,ab73cfe5,f2e8741b
Lionel Mpasi,31-326,90,9,1,8,88.9,5c6b0637,9be9f315,f2e8741b
