Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Thibaut Courtois,34-035,90,3,1,2,66.7,1840e36d,361422b9,5f18a385
Mostafa Shobeir,26-031,90,4,1,3,75.0,0cb1d2ba,b8889750,5f18a385
