Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Gregor Kobel,28-194,90,3,1,2,66.7,cd59b9df,81021a70,5134daab
Nikola Vasilj,30-198,90,7,4,3,42.9,f038585f,6c5ef1c3,5134daab
