Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Thibaut Courtois,34-051,120,5,2,3,60.0,1840e36d,361422b9,cf968279
Mory Diaw,33-009,120,6,3,3,50.0,f41a69e6,9ab5c684,cf968279
