Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Patrick Beach,22-311,90,8,0,8,100.0,3cc64624,b90bf4f9,4ff2342a
Uğurcan Çakır,30-069,90,4,2,2,50.0,f63a8347,ac6bcf92,4ff2342a
