Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Matt Freese,27-283,90,1,1,0,0.0,2f49476c,0f66725b,f6c0596c
Orlando Gill,26-001,90,7,4,3,42.9,0d425331,d2043442,f6c0596c
