Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Utkir Yusupov,35-164,90,4,3,1,25.0,31caffaf,cd389e75,3329959e
Camilo Vargas,37-100,90,2,1,1,50.0,004e3d0f,ab73cfe5,3329959e
