Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Fernando Muslera,40-005,90,4,2,2,50.0,a2abe631,870e020f,bc0e570b
Vozinha,40-018,90,2,2,0,0.0,dc04ac24,31fa6fa6,bc0e570b
