Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Yazeed Abulaila,33-165,90,8,2,6,75.0,5d11fc17,3e22f0fa,eb19002c
Luca Zidane,28-040,90,4,1,3,75.0,c818c4d9,1e2dba57,eb19002c
