Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Alireza Beiranvand,33-267,90,8,2,6,75.0,6ca0b04a,6a08f71e,a039dc32
Max Crocombe,32-307,90,4,2,2,50.0,fdf47077,259855f0,a039dc32
