Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Emiliano Martínez,33-287,90,0,0,0,,7956236f,f9fddd6e,881ab666
Luca Zidane,28-034,90,6,3,3,50.0,c818c4d9,1e2dba57,881ab666
