Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Nikola Vasilj,30-204,90,3,1,2,66.7,f038585f,6c5ef1c3,a59cb59d
Mahmoud Abunada,26-139,90,6,3,3,50.0,27e7e545,9b696ed1,a59cb59d
