Player,#,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,fbref_id,team_id,match_id
Evidence Makgopa,17.0,FW,26-019,90,0,0,0,0,2,1,0,0,1,1,2,0,0,1,0,0,0,4d76d03b,506f1741,311661a5
Oswin Appollis,7.0,AM,24-303,61,0,0,0,0,1,1,0,0,1,0,0,2,1,0,0,0,0,e8933eb0,506f1741,311661a5
Tshepang Moremi,8.0,MF,25-265,29,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,546d38f9,506f1741,311661a5
Relebohile Mofokeng,10.0,AM,21-244,79,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,25c3fb97,506f1741,311661a5
Jayden Adams,23.0,MF,25-050,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,259affab,506f1741,311661a5
Thapelo Maseko,12.0,AM,22-225,74,1,0,0,0,5,1,0,0,0,4,0,1,0,0,0,0,0,498d45f7,506f1741,311661a5
Iqraam Rayners,15.0,"FW,MF",30-187,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,190b0d5e,506f1741,311661a5
Sphephelo Sithole,13.0,DM,27-113,90,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,33bcd4b3,506f1741,311661a5
Thalente Mbatha,5.0,DM,26-100,90,0,0,0,0,2,1,0,0,1,0,0,1,1,3,0,0,0,f6272be9,506f1741,311661a5
Aubrey Modiba,6.0,LB,30-337,90,0,0,0,0,1,0,1,0,1,0,1,2,0,0,0,0,0,bb1f97f2,506f1741,311661a5
Mbekezeli Mbokazi,14.0,CB,20-278,90,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,13398d42,506f1741,311661a5
Ime Okon,21.0,CB,22-124,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3cb58055,506f1741,311661a5
Khuliso Mudau,20.0,RB,31-059,90,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0,0,0,75388f92,506f1741,311661a5
Ronwen Williams,1.0,GK,34-154,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a66cc153,506f1741,311661a5
Oh Hyeon-gyu,18.0,FW,25-073,73,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,d25422fb,473f0fbf,311661a5
Cho Gue-sung,9.0,FW,28-150,17,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,ccfa8e5e,473f0fbf,311661a5
Hwang Hee-chan,11.0,FW,30-149,45,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,169fd162,473f0fbf,311661a5
Son Heung-min,7.0,"FW,MF",33-351,45,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,92e7e919,473f0fbf,311661a5
Lee Kang-in,19.0,FW,25-125,90,0,0,0,0,1,0,0,0,0,2,0,13,0,0,0,0,0,8455ad90,473f0fbf,311661a5
Lee Tae-seok,13.0,LM,23-331,45,0,0,0,0,0,0,0,0,2,0,0,5,2,0,0,0,0,32257cce,473f0fbf,311661a5
Jens Castrop,23.0,MF,22-330,45,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,03fee7de,473f0fbf,311661a5
Paik Seung-ho,8.0,CM,29-099,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e1bea09,473f0fbf,311661a5
Kim Jin-gyu,24.0,MF,29-120,45,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7c0479b1,473f0fbf,311661a5
Hwang In-beom,6.0,CM,29-277,90,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,0,0,92fa5d28,473f0fbf,311661a5
Seol Young-woo,22.0,RM,27-201,90,0,0,0,0,1,0,0,0,0,2,0,4,0,0,0,0,0,8e577e1d,473f0fbf,311661a5
Lee Gi-hyuk,3.0,CB,25-352,90,0,0,0,0,0,0,0,0,1,0,0,2,2,2,0,0,0,18c8c3c7,473f0fbf,311661a5
Kim Min-jae,4.0,CB,29-221,65,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,e0f8151c,473f0fbf,311661a5
Park Jinseob,16.0,"DF,MF",30-244,25,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3316967a,473f0fbf,311661a5
Lee Han-beom,2.0,CB,24-007,90,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,071f2dd3,473f0fbf,311661a5
Kim Seung-gyu,1.0,GK,35-267,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,eabaafa6,473f0fbf,311661a5
