Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Mike Maignan,31-011,90,2,2,0,0.0,fcb38f57,b1b36dcd,9575513b
Unai Simón,29-033,90,3,0,3,100.0,5dcf3e90,b561dd30,9575513b
