Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Patrick Beach,22-331,118,4,1,3,75.0,3cc64624,b90bf4f9,3ccca695
Mathew Ryan,34-086,2,0,0,0,,4535e4bb,b90bf4f9,3ccca695
Mostafa Shobeir,26-049,120,2,1,1,50.0,0cb1d2ba,b8889750,3ccca695
