Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Mory Diaw,33-004,90,1,0,1,100.0,f41a69e6,9ab5c684,583c1910
Ahmed Basil,29-311,45,2,1,1,50.0,3bf9e631,ec843efd,583c1910
Jalal Hassan,35-039,45,10,4,6,60.0,87351c2e,ec843efd,583c1910
