Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Yahia Fofana,25-313,90,3,2,1,33.3,9d420dad,24772b12,d280258e
Ørjan Nyland,35-293,90,5,1,4,80.0,bdedffac,599eba19,d280258e
