Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Dominik Livaković,31-169,90,1,1,0,0.0,58f077c0,7b08e376,a051b2ea
Benjamin Asare,33-349,90,4,2,2,50.0,4bb65492,9349828d,a051b2ea
