Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Zion Suzuki,23-308,90,5,1,4,80.0,51e1f4f5,ffcf1690,994aa701
Jacob Widell Zetterström,27-349,90,3,1,2,66.7,ac5120d8,296f69e7,994aa701
