Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Aymen Dahmen,29-148,90,7,3,4,57.1,8bf49030,a7c7562a,63b14e23
Bart Verbruggen,23-311,90,4,1,3,75.0,cf134113,5bb5024a,63b14e23
