Player,Age,Min,SoTA,GA,Saves,Save%,fbref_id,team_id,match_id
Alisson,33-254,90,3,1,2,66.7,7a2e46a8,304635c3,72d993fd
Yassine Bounou,35-069,90,5,1,4,80.0,f6798fc3,af41ccda,72d993fd
